File Type,CSV filename,Excel worksheet name,Required
:ref:`Clients <client-format>`,clients.csv,Clients,Required
:ref:`Episodes <episode-format>`,episodes.csv,Episodes,Required
:ref:`IAR-DST Measures <iar-dst-format>`,iar-dst.csv,IAR-DST,Required
:ref:`Service Contacts <service-contact-format>`,service-contacts.csv,Service Contacts,Required
:ref:`Service Contact Practitioners <service-contact-practitioner-format>`,service-contact-practitioners.csv,Service Contact Practitioners,Required
:ref:`Collection Occasions <collection-occasion-format>`,collection-occasions.csv,Collection Occasions,Required
:ref:`K10+ Measures <k10p-format>`,k10p.csv,K10+,Required
:ref:`K5 Measures <k5-format>`,k5.csv,K5,Required
:ref:`SDQ Measures <sdq-format>`,sdq.csv,SDQ,Required
:ref:`Practitioners <practitioner-format>`,practitioners.csv,Practitioners,Required for first upload and when practitioner information changes. Optional otherwise
:ref:`Organisations <organisation-format>`,organisations.csv,Organisations,"Optional, may only be included if the user has Organisation Management Role"
:ref:`Metadata <metadata-format>`,metadata.csv,Metadata,Required
