id,description
0,"Flexible funding pool - Not Otherwise Stated"
11,"Flexible funding pool - Low intensity"
12,"Flexible funding pool - Youth Severe"
13,"Flexible funding pool - Child and Youth"
14,"Flexible funding pool - Psychological therapies for hard to reach"
15,"Flexible funding pool - Services for People with Severe Mental Illness"
16,"Flexible funding pool - Suicide Prevention - Indigenous"
17,"Flexible funding pool - Suicide Prevention - General"
18,"Indigenous Mental Health"
19,"Commonwealth Psychosocial Support"
20,"Psychological Treatment in Residential Aged Care Facilities"
21,"Emergency Response - Bushfire Recovery 2020"
22,"Emergency Response - Flood 2022"
23,"Head to Health program"
24,"Head to Health Kids Hubs"
25,"Norfolk Island"
26,"National Suicide Prevention Trial"
27,"Way Back Support Service"
60,"headspace Grant"
61,"MBS"
62,"In Kind"
63,"Other Government Funding - State: EMHSS"
64,"Other Government Funding - State: onespace"
65,"Other Government Funding - State: Victorian Pathways Integration - headspace/ CYMHS"
66,"Other Government Funding - State: NSW COVID Support"
67,"Other Government Funding - State: NSW COVID Recovery"
68,"Other Government Funding - State: Bilaterals - Service Integration"
69,"Other Government Funding - State: Other State"
70,"Other Government Funding - Commonwealth: VIC COVID-19"
71,"Other Government Funding - Commonwealth: NSW COVID Support"
72,"Other Government Funding - Commonwealth: Early Career Program"
73,"Other Government Funding - Commonwealth: Other Commonwealth"
97,"Other funding source – no Commonwealth/State Funding"
98,"Unknown/Not stated"
99,"Missing"
